left_length,right_length,left_angle,right_angle,width,height,Gx,Gy
60.0,120.0,45.0,45.0,5.249998,3.5,-0.08027016655951805,1.6317568666910451
60.0,60.0,0.0,90.0,4.534999,3.5,-0.29087005103479163,1.724852366750261
120.0,120.0,0.0,90.0,3.8449995,3.79,-0.07946646588341812,1.6523742212685786
60.0,60.0,45.0,90.0,2.19000125,6.2700225,0.12427830243116111,2.9644621728872806
0.0,120.0,45.0,90.0,3.8049995,4.479999,-0.18336487736885013,2.250655948720618
60.0,60.0,0.0,45.0,5.549998,2.170001,0.04794082445430038,1.1610803055636763
60.0,0.0,45.0,45.0,3.5199999999999996,3.2550004999999995,0.1564877614198773,1.715514755692321
120.0,0.0,45.0,45.0,3.36,4.7800095,0.19969567139035746,2.45429825603857
120.0,120.0,0.0,45.0,7.1150009999999995,2.2850012,-0.27626658064327253,0.9906217720482714
60.0,120.0,0.0,45.0,5.394998500000001,2.13000125,-0.1654427224298774,1.062381993542259
60.0,120.0,0.0,90.0,3.1100005,4.1799990000000005,-0.017407733421643076,1.9459749524426357
60.0,120.0,0.0,0.0,7.259996,2.430001,0.007907085427648557,0.9575585291415478
0.0,60.0,45.0,90.0,2.7000009999999994,5.2900005,0.005460927186282602,2.8598791930728527
60.0,120.0,45.0,90.0,3.2250005,5.25500725,-0.0723248728247324,2.476485294064296
120.0,60.0,90.0,90.0,2.11000135,6.1250155,0.09207917504302701,3.085221816837166
60.0,60.0,45.0,0.0,7.9400125,2.3250010000000003,0.4737213212512339,0.9879097922764196
120.0,60.0,45.0,90.0,4.8450065,4.1099995,0.6662902551808586,1.8294085088527485
60.0,60.0,90.0,90.0,2.6000008,5.1149985000000004,-0.23899851253323487,2.3630118837401235
120.0,60.0,0.0,0.0,8.950028,2.48000065,0.3084601192186877,1.0368111417147219
120.0,120.0,45.0,90.0,3.5299994999999997,4.674999,-0.07449996927301414,2.375145732992302
120.0,120.0,45.0,45.0,5.484998000000001,3.905,0.18498639116046287,1.6671055478206787
60.0,60.0,90.0,45.0,3.4349995499999997,4.594999,-0.24804372325997914,2.284305054827369
120.0,60.0,45.0,0.0,6.175007,4.124999000000001,-0.6255402526407738,1.8660243914241847
60.0,120.0,90.0,0.0,5.764998,4.559999,-0.5133693603173037,2.0427290339780813
0.0,120.0,45.0,45.0,5.5850035,4.8599985000000006,-0.21613134195271047,2.2191356561005375
120.0,60.0,45.0,45.0,4.754999000000001,3.4749998499999997,0.5177071803273668,1.6816363231518767
60.0,60.0,90.0,0.0,7.075010000000001,3.825,-0.7376982762822543,1.4923963123207795
60.0,120.0,90.0,90.0,3.48500015,6.0900075,-0.20588060772330924,2.9032959351058563
0.0,120.0,45.0,0.0,7.1550125,2.98500035,-0.44544630797942025,1.287550311612398
60.0,0.0,90.0,45.0,3.050001,6.025005500000001,-0.09686713770218003,3.1502636575892766
120.0,120.0,90.0,0.0,8.255026999999998,3.4699995,-0.758929207868386,1.5358334491149053
0.0,0.0,45.0,45.0,4.195,3.5349994999999996,0.07002588727179146,1.7861249276899926
120.0,120.0,45.0,0.0,8.615019,3.3150002499999998,0.20123276487582195,1.348707613214682
60.0,60.0,45.0,45.0,5.4999985,3.9099995,-0.19666166356090262,1.769685221419859
60.0,120.0,45.0,0.0,8.7350255,2.655001,0.3981234506277984,1.028630196666724
0.0,60.0,45.0,0.0,6.005003,3.255,0.053823513793339835,1.3771820475628749
120.0,0.0,90.0,45.0,3.4450000000000003,5.744999,-0.18661346014642347,2.861717539353474
120.0,60.0,90.0,0.0,4.8649985000000004,4.1649995,-0.4060777509063504,1.8488525930875839
0.0,60.0,45.0,45.0,3.6150005,3.775,-0.20307828623265753,1.8412827784671366
120.0,120.0,90.0,90.0,3.455,5.4549985,0.024189578284342345,2.9138385677539036
60.0,60.0,0.0,0.0,9.685048000000002,3.135,0.539256288450652,1.2274461358768383
120.0,120.0,0.0,0.0,9.7750445,2.4250005449999996,0.8511221158174062,0.9788934238522673
120.0,60.0,90.0,45.0,3.52499965,5.3499985,-0.39108692955014873,2.7431573938477887
60.0,60.0,0.0,45.0,7.9400125,2.3250010000000003,-0.4737213212512339,0.9879097922764196
60.0,120.0,90.0,45.0,4.8450065,4.1099995,-0.6662902551808586,1.8294085088527487
60.0,120.0,0.0,0.0,8.950028,2.48000065,-0.30846011921868766,1.0368111417147219
120.0,120.0,90.0,45.0,3.5299994999999997,4.674999,0.07449996927301407,2.3751457329923014
60.0,60.0,45.0,90.0,3.4349995499999997,4.594999,0.24804372325997906,2.284305054827369
60.0,120.0,0.0,45.0,6.175007,4.124999000000001,0.6255402526407736,1.8660243914241843
120.0,60.0,0.0,90.0,5.764998,4.559999,0.5133693603173038,2.0427290339780817
120.0,0.0,45.0,45.0,5.5850035,4.8599985000000006,0.2161313419527105,2.2191356561005375
60.0,120.0,45.0,45.0,4.754999000000001,3.4749998499999997,-0.5177071803273668,1.6816363231518765
60.0,60.0,0.0,90.0,7.075010000000001,3.825,0.7376982762822543,1.4923963123207797
120.0,60.0,90.0,90.0,3.48500015,6.0900075,0.20588060772330924,2.9032959351058563
120.0,0.0,0.0,45.0,7.1550125,2.98500035,0.4454463079794203,1.2875503116123983
0.0,60.0,45.0,90.0,3.050001,6.025005500000001,0.09686713770218006,3.1502636575892757
120.0,120.0,0.0,90.0,8.255026999999998,3.4699995,0.7589292078683859,1.5358334491149048
120.0,120.0,0.0,45.0,8.615019,3.3150002499999998,-0.20123276487582192,1.348707613214682
120.0,60.0,0.0,45.0,8.7350255,2.655001,-0.39812345062779847,1.028630196666724
60.0,0.0,0.0,45.0,6.005003,3.255,-0.05382351379333992,1.377182047562875
0.0,120.0,45.0,90.0,3.4450000000000003,5.744999,0.18661346014642352,2.861717539353474
60.0,120.0,0.0,90.0,4.8649985000000004,4.1649995,0.4060777509063504,1.848852593087584
60.0,0.0,45.0,45.0,3.6150005,3.775,0.2030782862326576,1.841282778467137
60.0,120.0,45.0,90.0,3.52499965,5.3499985,0.39108692955014873,2.743157393847789
60.0,0.0,90.0,45.0,4.2199995,7.475020499999999,-0.3063931120276945,4.332669612179706
120.0,0.0,90.0,45.0,6.0850325000000005,3.2500000499999997,0.6957025163286411,1.5061333216164512
120.0,120.0,90.0,45.0,4.660000050000001,6.5600285000000005,-0.9328363246700806,3.22114298615659
120.0,120.0,45.0,0.0,4.5999989999999995,3.8899999999999997,-0.04691860577898009,1.9330788903049914
120.0,60.0,0.0,0.0,5.450007000000001,2.8300008,1.3899729162161878,1.2677534843369156
60.0,0.0,0.0,45.0,8.310029,4.0349995,0.4997913440044414,1.7809598791866357
120.0,60.0,45.0,45.0,6.190042999999999,3.865,0.6635366409109502,1.6437745878715173
120.0,60.0,45.0,0.0,8.870027500000003,2.470001,-0.13239439128897232,1.2757653865187901
120.0,60.0,90.0,45.0,4.819999,6.7700205,-0.18723513574204384,3.713914945931617
60.0,60.0,0.0,0.0,10.180048,2.00000155,-0.2500076065096843,0.7405053032573359
120.0,120.0,0.0,0.0,10.255048,3.0600002,0.011767825040024956,1.3639864584970298
120.0,120.0,90.0,90.0,3.000001,7.755025,-0.06043522495293079,4.31515520413985
60.0,0.0,45.0,45.0,6.160000500000001,4.72501105,0.8468543078362427,2.021962323358226
60.0,60.0,90.0,90.0,2.7000009999999994,7.545039,0.014109466506416488,4.080318339519644
60.0,60.0,45.0,0.0,11.500098000000001,2.5800009,0.1384275410141615,1.0039469603464806
60.0,60.0,90.0,45.0,3.6149994999999997,7.40002,-0.3213368754942651,3.648004092462637
120.0,0.0,0.0,45.0,10.975068,1.4950017500000001,-0.3303484157400388,0.5160343971945429
120.0,60.0,45.0,90.0,6.610011999999999,5.4200045,0.6558949319331655,2.5982056805617493
60.0,60.0,45.0,45.0,6.604998500000001,5.554999500000001,-0.09593181483590973,2.973669968909338
120.0,60.0,0.0,45.0,9.1550285,3.3250005,0.3923702008797682,1.5400264045272802
120.0,60.0,90.0,90.0,4.3050005,8.970055,-0.5175555556800662,4.201954708072436
120.0,120.0,45.0,45.0,8.515021,4.720004,-0.0646876013783532,1.9691981821756537
120.0,120.0,90.0,0.0,4.689999,5.929997500000001,-1.1232215279794904,2.7896540109394383
120.0,0.0,45.0,45.0,6.7600165,5.095008,0.19458036332409334,2.4982183260679673
