Device-ID,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,C1,C2,C3,C4,C5,C6
p5,618.6666666666667,5901.333333333332,397.3333333333332,5879.999999999999,3693.333333333334,2277.333333333333,8300.333333333332,5858.666666666666,3104.9999999999995,1039.6666666666667,5291.666666666668,6561.000000000001,796.3333333333333,3592.000000000001,4199.666666666668,234.66666666666669,2459.666666666667,234.6666666666667,11979.0
p6,1728.0000000000005,4496.0,7098.333333333334,14062.000000000002,4899.666666666667,8154.333333333334,16777.0,2029.3333333333333,4278.333333333334,2164.0000000000005,9246.333333333334,6478.666666666666,9720.0,5425.666666666668,5357.666666666666,9654.333333333334,14192.0,5586.333333333334,3150.9999999999995
p6,7677.333333333334,4157.0,10179.0,17746.66666666667,106.66666666666669,9452.999999999998,10148.33333333333,5842.666666666666,7741.000000000001,6389.999999999999,9280.000000000002,11083.333333333336,2944.000000000001,5038.333333333333,1311.9999999999998,6575.666666666668,2944.0000000000005,10984.333333333334,7160.000000000001
p7,1986.6666666666667,4096.0,1194.666666666667,4221.333333333334,1242.0,1656.0,1575.9999999999998,1986.6666666666667,3704.666666666666,909.6666666666665,1741.3333333333335,1512.3333333333333,912.3333333333335,2930.666666666667,4118.666666666667,4119.666666666668,6538.0,3024.3333333333335,750.3333333333333
p7,5184.000000000001,1245.3333333333335,3042.666666666666,1863.666666666667,3705.6666666666665,4516.333333333332,2365.333333333334,3771.666666666667,4935.666666666667,1623.9999999999998,1705.6666666666665,9085.333333333336,4294.333333333333,2637.666666666667,1290.6666666666667,4995.666666666666,4957.333333333334,3645.6666666666665,1844.666666666667
p8,5208.333333333334,1000.0000000000001,6580.666666666668,4411.0,3075.0,2130.333333333333,7025.000000000002,8242.999999999998,4680.0,1674.6666666666663,1638.3333333333335,7454.333333333334,1638.6666666666665,5126.333333333332,2076.3333333333335,7746.666666666666,5858.666666666665,18010.666666666668,7077.0
p8,3237.333333333333,2214.333333333334,2880.0000000000005,4572.666666666667,8840.666666666666,9557.333333333336,2346.666666666667,9303.0,4032.0000000000005,5778.666666666666,4934.666666666666,3302.0,3531.333333333333,9930.66666666667,4032.0000000000005,2972.666666666667,5248.000000000001,5349.333333333333,10703.333333333334
p9,4296.333333333333,2712.0000000000005,1596.3333333333333,12277.000000000004,1190.6666666666667,1687.9999999999995,30757.333333333332,746.6666666666667,959.6666666666667,1349.6666666666667,8425.0,639.9999999999999,23576.666666666664,336.0,85.33333333333334,10486.333333333336,6594.0,13008.666666666668,3137.666666666667
p9,2666.666666666666,1019.6666666666669,7152.0,13631.0,2789.6666666666665,891.0000000000001,17298.666666666668,326.33333333333326,3180.3333333333335,477.99999999999994,5208.333333333334,5133.333333333334,9386.0,1824.0,1285.3333333333333,8026.333333333334,3413.0,2574.0,2608.333333333333
p10,853.3333333333335,755.0,1999.9999999999995,3768.666666666667,1774.666666666667,1215.0,2880.0000000000005,2880.0000000000005,4573.333333333334,1638.6666666666665,1999.9999999999995,4032.0000000000005,5488.000000000001,1458.0,2152.0,3954.333333333333,8120.666666666668,11050.666666666666,6773.666666666668
